record_id,split
1452_data_0_0.pkl,train
1452_data_0_1.pkl,train
1452_data_0_2.pkl,train
1452_data_0_3.pkl,train
1452_data_0_4.pkl,train
1452_data_0_5.pkl,train
1452_data_0_6.pkl,train
1452_data_0_7.pkl,train
1452_data_0_8.pkl,train
1452_data_0_9.pkl,train
1452_data_0_10.pkl,train
1452_data_0_11.pkl,train
1452_data_0_12.pkl,train
1452_data_0_13.pkl,train
1452_data_0_14.pkl,train
1452_data_0_15.pkl,train
1452_data_0_16.pkl,train
1452_data_0_17.pkl,train
1452_data_0_18.pkl,train
1452_data_0_19.pkl,train
1452_data_0_20.pkl,train
1452_data_0_21.pkl,train
1452_data_0_22.pkl,train
1452_data_0_23.pkl,train
1452_data_0_24.pkl,train
1452_data_0_25.pkl,train
1452_data_0_26.pkl,train
1452_data_0_27.pkl,train
1452_data_0_28.pkl,train
1452_data_0_29.pkl,train
1452_data_0_30.pkl,train
1452_data_0_31.pkl,train
1452_data_0_32.pkl,train
1452_data_0_33.pkl,train
1452_data_0_34.pkl,train
1452_data_0_35.pkl,train
1452_data_0_36.pkl,train
1452_data_0_37.pkl,train
1452_data_0_38.pkl,train
1452_data_0_39.pkl,train
1452_data_0_40.pkl,train
1452_data_0_41.pkl,train
1452_data_0_42.pkl,train
1452_data_0_43.pkl,train
1452_data_0_44.pkl,train
1452_data_0_45.pkl,train
1452_data_0_46.pkl,train
1452_data_0_47.pkl,train
1452_data_0_48.pkl,train
1452_data_0_49.pkl,train
1452_data_0_50.pkl,train
1452_data_0_51.pkl,train
1452_data_0_52.pkl,train
1452_data_0_53.pkl,train
1452_data_0_54.pkl,train
1452_data_0_55.pkl,train
1452_data_0_56.pkl,train
1452_data_0_57.pkl,train
1452_data_0_58.pkl,train
1452_data_0_59.pkl,train
1452_data_0_60.pkl,train
1452_data_0_61.pkl,train
1452_data_0_62.pkl,train
1452_data_0_63.pkl,train
1452_data_0_64.pkl,train
1452_data_0_65.pkl,train
1452_data_0_66.pkl,train
1452_data_0_67.pkl,train
1452_data_0_68.pkl,train
1452_data_0_69.pkl,train
1452_data_0_70.pkl,train
1452_data_0_71.pkl,train
1452_data_0_72.pkl,train
1452_data_0_73.pkl,train
1452_data_0_74.pkl,train
1452_data_0_75.pkl,train
1452_data_0_76.pkl,train
1452_data_0_77.pkl,train
1452_data_0_78.pkl,train
1452_data_0_79.pkl,train
1452_data_0_80.pkl,train
1452_data_0_81.pkl,train
1452_data_0_82.pkl,train
1452_data_0_83.pkl,train
1452_data_0_84.pkl,train
1452_data_0_85.pkl,train
1452_data_0_86.pkl,train
1452_data_0_87.pkl,train
1452_data_0_88.pkl,train
1452_data_0_89.pkl,train
1452_data_0_90.pkl,train
1452_data_0_91.pkl,train
1452_data_0_92.pkl,train
1452_data_0_93.pkl,train
1452_data_0_94.pkl,train
1452_data_0_95.pkl,train
1452_data_0_96.pkl,train
1452_data_0_97.pkl,train
1452_data_0_98.pkl,train
1452_data_0_99.pkl,train
1452_data_0_100.pkl,train
1452_data_0_101.pkl,train
1452_data_0_102.pkl,train
1452_data_0_103.pkl,train
1452_data_0_104.pkl,train
1452_data_0_105.pkl,train
1452_data_0_106.pkl,train
1452_data_0_107.pkl,train
1452_data_0_108.pkl,train
1452_data_0_109.pkl,train
1452_data_0_110.pkl,train
1452_data_0_111.pkl,train
1452_data_0_112.pkl,train
1452_data_0_113.pkl,train
1452_data_0_114.pkl,train
1452_data_0_115.pkl,train
1452_data_0_116.pkl,train
1452_data_0_117.pkl,train
1452_data_0_118.pkl,train
1452_data_0_119.pkl,train
1452_data_0_120.pkl,train
1452_data_0_121.pkl,train
1452_data_0_122.pkl,train
1452_data_0_123.pkl,train
1452_data_0_124.pkl,train
1452_data_0_125.pkl,train
1452_data_0_126.pkl,train
1452_data_0_127.pkl,train
1452_data_0_128.pkl,train
1452_data_0_129.pkl,train
1452_data_0_130.pkl,train
1452_data_0_131.pkl,train
1452_data_0_132.pkl,train
1452_data_0_133.pkl,train
1452_data_0_134.pkl,train
1452_data_0_135.pkl,train
1452_data_0_136.pkl,train
1452_data_0_137.pkl,train
1452_data_0_138.pkl,train
1452_data_0_139.pkl,train
1452_data_0_140.pkl,train
1452_data_0_141.pkl,train
1452_data_0_142.pkl,train
1452_data_0_143.pkl,train
1452_data_0_144.pkl,train
1452_data_0_145.pkl,train
1452_data_0_146.pkl,train
1452_data_0_147.pkl,train
1452_data_0_148.pkl,train
1452_data_0_149.pkl,train
1452_data_0_150.pkl,train
1452_data_0_151.pkl,train
1452_data_0_152.pkl,train
1452_data_0_153.pkl,train
1452_data_0_154.pkl,train
1452_data_0_155.pkl,train
1452_data_0_156.pkl,train
1452_data_0_157.pkl,train
1452_data_0_158.pkl,train
1452_data_0_159.pkl,train
1452_data_0_160.pkl,train
1452_data_0_161.pkl,train
1452_data_0_162.pkl,train
1452_data_0_163.pkl,train
1452_data_0_164.pkl,train
1452_data_0_165.pkl,train
1452_data_0_166.pkl,train
1452_data_0_167.pkl,train
1452_data_0_168.pkl,train
1452_data_0_169.pkl,train
1452_data_0_170.pkl,train
1452_data_0_171.pkl,train
1452_data_0_172.pkl,train
1452_data_0_173.pkl,train
1452_data_0_174.pkl,train
1452_data_0_175.pkl,train
1452_data_0_176.pkl,train
1452_data_0_177.pkl,train
1452_data_0_178.pkl,train
1452_data_0_179.pkl,train
1452_data_0_180.pkl,train
1452_data_0_181.pkl,train
1452_data_0_182.pkl,train
1452_data_0_183.pkl,train
1452_data_0_184.pkl,train
1452_data_0_185.pkl,train
1452_data_0_186.pkl,train
1452_data_0_187.pkl,train
1452_data_0_188.pkl,train
1452_data_0_189.pkl,train
1452_data_0_190.pkl,train
1452_data_0_191.pkl,train
1452_data_0_192.pkl,train
1452_data_0_193.pkl,train
1452_data_0_194.pkl,train
1452_data_0_195.pkl,train
1452_data_0_196.pkl,train
1452_data_0_197.pkl,train
1452_data_0_198.pkl,train
1452_data_0_199.pkl,train
1452_data_0_200.pkl,train
1452_data_0_201.pkl,train
1452_data_0_202.pkl,train
1452_data_0_203.pkl,train
1452_data_0_204.pkl,train
1452_data_0_205.pkl,train
1452_data_0_206.pkl,train
1452_data_0_207.pkl,train
1452_data_0_208.pkl,train
1452_data_0_209.pkl,train
1452_data_0_210.pkl,train
1452_data_0_211.pkl,train
1452_data_0_212.pkl,train
1452_data_0_213.pkl,train
1452_data_0_214.pkl,train
1452_data_0_215.pkl,train
1452_data_0_216.pkl,train
1452_data_0_217.pkl,train
1452_data_0_218.pkl,train
1452_data_0_219.pkl,train
1452_data_0_220.pkl,train
1452_data_0_221.pkl,train
1452_data_0_222.pkl,train
